#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᏌᏊ ᏄᎾ.	sagwu-nuna		nuna	One potato.	
	ᏌᏊ ᏅᏯ.	sagwu-nvya		nvya	One rock.	
	ᏌᏊ ᏪᏌ.	sagwu-wesa		wesa	One cat.	
	ᏔᎵ ᏄᎾ.	tali-nuna		nuna	Two potatoes.	
	ᏦᎢ ᏄᎾ.	joi-nuna		nuna	Three potatoes.	
	ᏦᎢ ᏅᏯ.	joi-nvya		nvya	Three rocks.	
	ᏪᏌ.	wesa		wesa	A cat. Cats.	
	ᏪᏌ ᎠᎴ ᎩᏟ.	wesa-ale-gihli		wesa	A cat or cats and a dog or dogs.	
	ᏪᏌ ᎠᎴ ᏅᏯ.	wesa-ale-nvya		wesa	A cat or cats and a rock or rocks.	
	ᏪᏌ ᏃᎴ ᎩᏟ.	wesa-nole-gihli	wesa-ale-gihli	wesa	A cat or cats and a dog or dogs.	
	ᏪᏌ ᏃᎴ ᏅᏯ.	wesa-nole-nvya	wesa-ale-nvya	wesa	A cat or cats and a rock or rocks.	
						
61	ᎠᎪᏩᏘᎭ.	agowhtiha		agowhtiha	He, she sees him, it.	
	ᎠᏂᎪᏩᏘᎭ.	anigowhtiha		anigowhtiha	They see him, it.	
	ᎩᏟ ᎠᎪᏩᏘᎭ.	gihli-agowhtiha		agowhtiha	A dog, he or she sees it.	
	ᎩᏟ ᎠᏂᎪᏩᏘᎭ.	gihli-anigowhtiha		anigowhtiha	A dog, they see it.	
	ᎩᏟ ᏓᎪᏩᏘᎭ.	gihli-dagowhtiha		dagowhtiha	Dogs, he or she sees them.	
	ᎩᏟ ᏓᏂᎪᏩᏘᎭ.	gihli-danigowhtiha		danigowhtiha	Dogs, they see them.	
	ᏄᎾ ᎠᎪᏩᏘᎭ.	nuna-agowhtiha		agowhtiha	A potato, he or she sees it.	
	ᏄᎾ ᎠᏂᎪᏩᏘᎭ.	nuna-anigowhtiha		anigowhtiha	A potato, they see it.	
	ᏄᎾ ᏓᎪᏩᏘᎭ.	nuna-dagowhtiha		dagowhtiha	Potatoes, he or she sees them.	
	ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	nuna-danigowhtiha		danigowhtiha	Potatoes, they see them.	
	ᏅᏯ ᎠᎪᏩᏘᎭ.	nvya-agowhtiha		agowhtiha	A rock, he or she sees it.	
	ᏅᏯ ᎠᏂᎪᏩᏘᎭ.	nvya-anigowhtiha		anigowhtiha	A rock, they see it.	
	ᏅᏯ ᏓᎪᏩᏘᎭ.	nvya-dagowhtiha		dagowhtiha	Rocks, he or see sees them.	
	ᏅᏯ ᏓᏂᎪᏩᏘᎭ.	nvya-danigowhtiha		danigowhtiha	Rocks, they see them.	
	ᏓᎪᏩᏘᎭ.	dagowhtiha		dagowhtiha	He, she sees them.	
	ᏓᏂᎪᏩᏘᎭ.	danigowhtiha		danigowhtiha	They see them.	
	ᏪᏌ ᎠᎪᏩᏘᎭ.	wesa-agowhtiha		agowhtiha	A cat, he or see sees it.	
	ᏪᏌ ᎠᏂᎪᏩᏘᎭ.	wesa-anigowhtiha		anigowhtiha	A cat, they see it.	
	ᏪᏌ ᏓᎪᏩᏘᎭ.	wesa-dagowhtiha		dagowhtiha	Cats, he or she sees them.	
	ᏪᏌ ᏓᏂᎪᏩᏘᎭ.	wesa-danigowhtiha		danigowhtiha	Cats, they see them.	
						
62	ᎠᎨᏯ ᎠᎴ ᏪᏌ ᏅᏯ ᎠᏂᏩᏘᎭ.	agehya-ale-wesa			A woman and a cat, a rock, they see it.	
	ᎠᎨᏯ ᎠᏂᎨᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	agehya-anigehya			A woman, the women and a rock or rocks, she sees them.	
	ᎠᎨᏯ ᏅᏯ ᎠᎪᏩᏘᎭ.	agehya-nvya			A woman, a rock, she sees it.	
	ᎠᏂᎨᏯ ᎠᎨᏯ ᎠᎴ ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	anigehya-agehya			The women, a woman and a rock or rocks, they see them.	
	ᎠᏂᎨᏯ ᏄᎾ ᎠᏂᎪᏩᏘᎭ.	anigehya-nuna			The woman, a rock, they see it.	
	ᎠᏂᏍᎦᏯ ᎠᎨᏯ ᎠᎴ ᏅᏯ ᏓᏂᎪᏩᏘᎭ.	anisgaya-agehya			The men, a woman and a rock or rocks, they see them.	
	ᎠᏂᏍᎦᏯ ᎠᏍᎦᏯ ᎠᎴ ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	anisgaya-asgaya			The men, a man and a potato or potatoes, they see them.	
	ᎠᏂᏍᎦᏯ ᏅᏯ ᎠᏂᎪᏩᏘᎭ.	anisgaya-nvya			The men, a rock, they see it.	
	ᎠᏍᎦᏯ ᎠᎴ ᎩᏟ ᏅᏯ ᎠᏂᏩᏘᎭ.	asgaya-ale-gihli			A man and a dog or dogs, a rock, they see it.	
	ᎠᏍᎦᏯ ᎠᏂᎨᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	asgaya-anigehya			A man, the women and a potato or potatoes, he sees them.	
	ᎠᏍᎦᏯ ᎠᏂᏍᎦᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	asgaya-anisgaya			A man, the men and a potato or potatoes, he sees them.	
	ᎠᏍᎦᏯ ᎩᏟ ᎠᎪᏩᏘᎭ.	asgaya-gihli			A man, a dog, he sees it.	
						
70	ᎠᏂ.	ahni	ahni		Here.	
	ᎢᎾ.	ina			Far.	
	ᎤᎿ.	uhna			There.	
	ᎾᎥ.	nav			Near.	
	ᎠᎭᏂ.	ahani	ahni		Here.	
	ᎯᎪᏩᏘᎭ.	hiigowhtiha		higowhtiha	You see him, her.	
	ᏥᎪᏩᏘᎭ.	jiigowhtiha		jigowhtiha	I see him, her.	
	ᎦᎯᎪᏩᏘᎭ.	gahiigowhtiha			You see them (animate).	
	ᎦᏥᎪᏩᏘᎭ.	gajiigowhtiha			I see them (animiate).	
	Ꭿ̣ᎪᏩᏘᎭ.	higowhtiha		hiigowhtiha	You see it.	
	Ꮵ̣ᎪᏩᏘᎭ.	jigowhtiha		jiigowhtiha	I see it.	
