#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᎠᎩᏟ	agihli			A person of the Dog people.	
	ᎠᏥᏍᏚ	ajisdu			A person of the Rabbit people.	
	ᎠᏩᎭᏯ	awahaya			A person of the Wolf people.	
	ᎠᏪᏌ	awesa			A person of the Cat people.	
						
101	ᎯᏴᏫ	hiyvwi			You, a person.	
	ᎯᎩᏟ	higihli			You, a Dog person.	
	ᎯᏥᏍᏚ	hijisdu			You, a Rabbit person.	
	ᎯᏩᎭᏯ	hiwahaya			You, a Wolf person.	
	ᎯᏪᏌ	hiwesa			You, a Cat person.	
	ᏥᏴᏫ	jiyvwi			Me, a person.	
	ᏥᎩᏟ	jigihli			Me, a Dog person.	
	ᏥᏥᏍᏚ	jijisdu			Me, a Rabbit person.	
	ᏥᏩᎭᏯ	jiwahaya			Me, a Wolf person.	
	ᏥᏪᏌ	jiwesa			Me, a Cat person.	
						
102	ᏙᎯ.	tohi			Peaceful. Still.	
	ᏙᎯᏧ?	tohiju			Peaceful, right?	
	ᏙᎯᏍ?	tohis			Is it peaceful?	
	ᏙᎯᏊ.	tohigwu			Just peaceful.	
	ᏛᎬᎪᎯ.	dvgvgohi			You, I will see.	
	ᏛᏍᎩᎪᎯ.	dvsgigohi			Me, you will see.	
	ᏛᏍᏛᎪᎯ.	dvsdvgohi			You two, I will see.	
	ᏛᏍᎩᏂᎪᎯ.	dvsginigohi			Me, you two will see.	
	ᏛᎢᏨᎪᎯ.	dvijvgohi			You all, I will see.	
	ᏛᎢᏍᎩᎪᎯ.	dvisgigohi			Me, you all will see.	
	ᏙᎾᏓᎪᎲᎢ.	donadagohvi			You one and myself, let us see each other later.	
	ᏙᏓᏓᎪᎲᎢ.	dodadagohvi			All of us, let us see each other later.	
						
110	ᎠᎨᏳᏣ.	agehyuja			A girl.	
	ᎠᏂᎨᏳᏣ.	anigehyuja			Girls.	
	ᎠᏧᏣ.	achuja			A boy.	
	ᎠᏂᏧᏣ.	anichuja			boys.	
	ᎦᏙ ᎠᏛᏁᎭ?	gado-advneha			What is he or she doing?	
	ᎦᏙ ᎠᎾᏛᏁᎭ?	gado-anadvneha			What are they doing?	
	ᏌᎶᎵ.	saloli			A squirrel. Squirrels.	
	ᏌᏛᏗ.	sadvdi			A trap.	
	ᏗᏌᏛᏗ.	disadvdi			Traps.	
	ᏐᏈᎵ.	soquili			A horse. Horses.	
	ᏲᎾ.	yona			A bear. Bears.	
						
111	ᏌᏊ ᏅᏯ.	sagwu-nvya			One rock.	
	ᏔᎵ ᏅᏯ.	tali-nvya			Two rocks.	
	ᏦᎢ ᏅᏯ.	joi-nvya			Three rocks.	
	ᏃᏘ ᏅᏯ.	not-nvya		kanigida-nvya	No rocks. Zero rocks.	
	ᎧᏂᎩᏓ ᏅᏯ.	kanigida-nvya	not-nvya	not-nvya	No rocks. Zero rocks.	
						
112	ᏃᏘ.	not		kanigida	Zero.	
	ᎧᏂᎩᏓ.	kanigida	not	not	Nothing.	
	ᏌᏊ.	sagwu			One.	
	ᏔᎵ.	tali		tali-wesa; anitali-wesa	Two (inanimate).	
	ᏔᎵ ᏪᏌ.	tali-wesa		anitali-wesa	Two (inanimate) cats.	
	ᎠᏂᏔᎵ ᏪᏌ.	anitali-wesa		tali-wesa	Two (animate) cats.	
	ᏦᎢ.	joi		joi-wesa; anijoi-wesa	Three (inanimate).	
	ᏦᎢ ᏪᏌ.	joi-wesa		anijoi-wesa	Three (inanimate) cats.	
	ᎠᏂᏦᎢ ᏪᏌ.	anijoi-wesa		joi-wesa	Three (animate) cats.	
	ᏅᎩ.	nvgi			Four.	
	ᎯᏍᎩ.	hisgi			Five.	
	ᏑᏓᎵ.	sudali			Six.	
	ᎦᎵᏉᎩ.	galgwogi			Seven.	
	ᏣᏁᎳ.	chanela		chunela	Eight.	
	ᏧᏁᎳ.	chunela	chanela	chanela	Eight.	
	ᏐᏁᎳ.	sonela			Nine.	
	ᏍᎪᎯ.	sgohi			Ten.	
						
113	ᏌᏚ.	sadu			Eleven.	
	ᏔᎵᏚ.	taldu			Twelve.	
	ᏦᎦᏚ.	jogadu			Thirteen.	
	ᏂᎦᏚ.	nigadu			Fourteen.	
	ᏍᎩᎦᏚ.	sgigadu			Fifteen.	
	ᏓᎳᏚ.	daladu			Sixteen.	
	ᎦᎵᏆᏚ.	galgwadu			Seventeen.	
	ᏁᎳᏚ.	neladu			Eighteen.	
	ᏐᏁᎳᏚ.	sonehladu			Nineteen.	
						
114	ᏔᎵᏍᎪᎯ.	20			Twenty.	
	ᏔᎵᏍᎪ ᏅᎩ.	24			Twenty-four.	
	ᏦᏍᎪᎯ.	30			Thirty.	
	ᏦᏍᎪ ᏣᏁᎳ.	38			Thirty-eight.	
	ᏅᎩᏍᎪᎯ.	40			Forty.	
	ᏅᎩᏍᎪ ᏐᏁᎳ.	49			Forty-nine.	
	ᎯᏍᎪᎯ.	50			Fifty.	
	ᎯᏍᎪ ᏐᏁᎳ.	59			Fifty-nine.	
	ᏑᏓᎵᏍᎪᎯ.	60			Sixty.	
	ᏑᏓᎵᏍᎪ ᎯᏍᎩ.	65			Sixty-five.	
	ᎦᎵᏆᏍᎪᎯ.	70			Seventy.	
	ᎦᎵᏆᏍᎪ ᎦᎵᏉᎩ.	77			Seventy-seven.	
	ᏁᎳᏍᎪᎯ.	80			Eighty.	
	ᏁᎳᏍᎪ ᏑᏓᎵ.	86			Eight-six.	
	ᏐᏁᎳᏍᎪᎯ.	90			Ninety.	
	ᏐᏁᎳᏍᎪ ᏑᏓᎵ.	96			Ninety-six.	
						
115	ᏍᎪᎯᏥᏆ.	100			One hundred.	
	ᏔᎵᏥᏆ.	200			Two hundred.	
	ᏦᎢᏥᏆ.	300			Three hundred.	
	ᏅᎩᏥᏆ.	400			Four hundred.	
	ᎯᏍᎩᏥᏆ.	500			Five hundred.	
	ᏑᏓᎵᏥᏆ.	600			Six hundred.	
	ᎦᎵᏉᎩᏥᏆ.	700			Seven hundred.	
	ᏁᎳᏥᏆ.	800			Eight hundred.	
	ᏐᏁᎳᏥᏆ.	900			Nine hundred.	
						
120	ᎭᏢ?	hadlv			Where?	ha²dlv
	ᎯᎳᏴᎢ?	hila-yvi	hila-iyvi		When? What time?	hị²la³²yv⁴ɂi
	ᎯᎳ ᎢᏴᎢ?	hila-iyvi	hila-iyvi		When? What time?	hị²la⁴ i²yv⁴ɂi
	ᎦᎪ?	gago		gagi	Who again?	ga³go²
	ᎦᎩ?	gagi		gago	Who?	ga³²gi³
	ᎦᏙ?	gado			What (action, event)?	gạ²do¹
	ᎦᏙᎲ?	gadohv			Why? But for what?	gạ²do¹hv³
						
121	ᏑᏌᏃ ᏓᏆᏙᎠ.	susano-dagwadoa		susano	Susan I am called.	
	ᏩᏯ ᎤᏍᏗ ᏓᏆᏙᎠ.	wahya-usdi-dagwadoa		wahya-usdi; wahaya	Coyote I am called.	
	ᏣᎵ ᎠᎴ ᎺᎵ ᏙᎩᎾᏙᎠ.	chali-ale-meli-doginadoa		chali; meli	Charles and Mary, we two are called.	
	ᏩᎭᏯ ᏙᎩᎾᏙᎠ.	wahaya-doginadoa		wahya-usdi; wahaya	Wolves, we two are called.	
	ᏕᏫᏗ, ᎹᎦᏰᏘ, ᎠᎴ ᎹᎦᎵ ᏙᎦᏙᎠ.	dewidi-magayeti-ale-magali-dogadoa		dewidi; magayeti; magali	David, Margaret, and Mike, we are called.	
	ᏌᎶᎵ ᏙᎦᏙᎠ	saloli-dogadoa		saloli	Squirrels, we all are called.	
	ᎵᏂᏓ ᏕᏣᏙᎠ.	linida-dejadoa		linida	Linda, you are called.	
	ᏲᎾ ᏕᏣᏙᎠ.	yona-dejadoa		yona	A bear, you are called.	
	ᏣᎵ ᎠᎴ ᎹᎦᎵ ᏕᏍᏓᏙᎠ.	chali-ale-magali-desdadoa		jali; magali	Charles and Mike, you two are called.	
	ᏐᏈᎵ ᏕᏍᏓᏙᎠ.	sogwili-desdadoa		sogwili	Horses, you two are called.	
	ᏣᎵ, ᎹᎦᎵ, ᎠᎴ ᏣᏂ Ꮥ¹ᏣᏙᎠ.	chali-magali-ale-jani-de1jadoa		chali; magali; jani	Charles, Mike, and John, you all are called.	
	ᏥᏍᏚ Ꮥ¹ᏣᏙᎠ.	jisdu-de1jadoa		jisdu	Rabbits, you all are called.	
	ᎵᏂᏓ ᏚᏙᎠ.	linida-dudoa		linida	Linda, she is called.	
	ᏪᏌ ᏚᏙᎠ.	wesa-dudoa		wesa	A cat, it is called.	
	ᎹᎦᏰᏘ ᎠᎴ ᎹᎦᎵ ᏚᎾᏙᎠ.	magayeti-ale-magali-dunadoa		magayeti; magali	Margaret and mike, they are called.	
	ᎩᏟ ᏚᎾᏙᎠ.	gihli-dunadoa		gihli	Dogs, they are called.	
						
122	ᎢᎮᏙᎸᎢ.	ihedolvi			Let you one return later.	ị³he²³do³²lv²ɂi
	ᎢᏍᏕᏙᎸᎢ.	isdedolvi			Let you two return later.	ị³sde²³do³²lv²ɂi
	ᎢᎢᏤᏙᎸᎢ.	iijedolvi			Let you all return later.	ị³ɂi¹je²³do³²lv²ɂi
	ᎠᏃᏍᏓ.	anosda			They good.	a¹no⁴sda
	ᎤᏂᏲᎢ.	uniyoi			They bad.	u²nị²yo⁴ɂi
	ᎩᎵᏏ.	gilisi		agilisi; anigilisi	English.	gị²li²si
	ᏴᏫ.	yvwi			People. A person.	yv²wi
	ᎠᎩᎵᏏ.	agilisi		gilisi	An English person.	ạ²gị²li²si
	ᎠᏂᎩᎵᏏ.	anigilisi		gilisi	English people.	ạ²ni²gị²li²si
	ᎠᏣᎳᎩ.	ajalagi			A Cherokee person.	ạ²jạ²lạ²gi
	ᎠᏂᏣᎳᎩ.	anijalagi			Cherokee people.	ạ²ni²jạ²lạ²gi
	ᎠᏲᏁᎦ.	ayonega			A white person.	ạ²yo³ne²ga
	ᎠᏂᏲᏁᎦ.	aniyonega			White people.	ạ²ni²yo³ne²ga
	ᎠᏴᏫᏯᎢ.	ayvwiyai			An aboriginal person. A native american.	ạ²yv²wi²ya⁴ɂi
	ᎠᏂᏴᏫᏯᎢ.	aniyvwiyai			Aboriginal people. Native americans.	ạ²ni²yv²wi²ya⁴ɂi
						
130	Ꮟ.	si			Wait. Yet still.	
	ᏝᏏ.	hlasi			Don’t wait. Not yet still.	
	ᎥᏝᏏ.	vhlasi	hlasi		Don’t wait. Not yet still.	
	ᎪᎱᏍᏗ.	gohusdi			Something. A thing. Things.	
	ᎪᏍᏗ.	gosdi	gohusdi		Something. A thing. Things.	
	Ꮭ ᎪᎱᏍᏗ.	hla-gohusdi			Not anything. No things.	
	ᎤᏬᎵᏗ ᎪᏪᎵ.	uwoldi-gohweli			A funny paper.	
	ᏧᏬᎵᏗ ᏗᎪᏪᎵ.	juwoldi-digohweli			Funny papers.	
						
140	ᏔᎹᏟ.	tamahli		ije-tamahli; anije-tamahli	A tomato. Tomatoes	tạ²ma²hli
	ᎦᎦᎹ.	gagama		ije-gagama; anije-gagama	A cucumber. Cucumbers.	ga²³gạ³ma
	ᎢᏤ ᏔᎹᏟ.	ije-tamahli		tamahli	A green tomato. An unripe tomato.	
	ᎠᏂᏤ ᏔᎹᏟ.	anije-tamahli		tamahli	Green tomatoes.	
	ᎢᏤ ᎦᎦᎹ.	ije-gagama		gagama	A green cucumber. An unripe cucumber.	
	ᎠᏂᏤ ᎦᎦᎹ.	anije-gagama		gagama	Green cucumbers.	
	ᎤᏍᎪᎸᎢ.	usgolvi			Faded. Dim. Pale.	
						
141	ᎢᏤᎢᏳᏍᏗ.	ijeiyusdi			Green. Unripe like.	
	ᎤᏁᎦ.	unega			White.	
	ᎤᏬᏗᎨᎢ.	uwodigei		gigagei	Brown.	
	ᎩᎦᎨᎢ.	gigagei		uwodigei	Red (inanimate).	
	ᎩᎨᎢ.	gigei	gigagei	uwodigei	Red (inanimate).	
	ᎬᎿᎨᎢ.	gvhnagei			Black (inanimate).	
	ᎬᏂᎨᎢ.	gvnigei	gvhnagei		Black (inanimate).	
	ᏌᎪᏂᎨᎢ.	sagonigei		dahaligei	Blue (inanimate).	
	ᏓᎭᎵᎨᎢ.	dahaligei		sagonigei	Purple (inanimate).	
	ᏓᎶᏂᎨᎢ.	dalonigei			Yellow (inanimate).	
	ᎩᎦᎨ ᎤᏍᎪᎸᎢ.	gigage-usgolvi		usgolvi	Pink. Faded red (inanimate).	
	ᎬᎿᎨ ᎤᏍᎪᎸᎢ.	gvhnage-usgolvi		usgolvi	Grey. Faded black (inanimate).	
	ᏌᎪᏂᎨ ᎤᏍᎪᎸᎢ.	sagonige-usgolvi		usgolvi	Grey. Faded blue (inanimate).	
	ᏓᎶᏂᎨ ᎤᏍᎪᎸᎢ.	dalonige-usgolvi		usgolvi	Orange. Dim yellow (inanimate).	
	ᎠᎩᎦᎨᎢ.	agigagei			Red (animate).	
	ᎠᎩᎨᎢ.	agigei	agigagei		Red (animate).	
	ᎠᎬᎿᎨᎢ.	agvhnagei			Black (animate).	
	ᎠᎬᏂᎨᎢ.	agvnigei	agvhnagei		Black (animate).	
	ᎠᏌᎪᏂᎨᎢ.	asagonigei		adahaligei	Blue (animate).	
	ᎠᏓᎭᎵᎨᎢ.	adahaligei		asagonigei	Purple (animate).	
	ᎠᏓᎶᏂᎨᎢ.	adalonigei			Yellow (animate).	
	ᎠᎩᎦᎨ ᎤᏍᎪᎸᎢ.	agigage-usgolvi		usgolvi	Pink. Faded red (animate).	
	ᎠᎬᎿᎨ ᎤᏍᎪᎸᎢ.	agvhnage-usgolvi		usgolvi	Grey. Faded black (animate).	
	ᎠᏌᎪᏂᎨ ᎤᏍᎪᎸᎢ.	asagonige-usgolvi		usgolvi	Grey. Faded blue (animate).	
	ᎠᏓᎶᏂᎨ ᎤᏍᎪᎸᎢ.	adalonige-usgolvi		usgolvi	Orange. Dim yellow (animate).	
						
150	ᎠᏂᏓᎭᎵᎨᎢ.	anidahaligei		anisagonigei	Purple (them-animate).	
	ᎠᏂᏓᎶᏂᎨᎢ.	anidalonigei			Yellow (them-animate).	
	ᎠᏂᏓᎶᏂᎨ ᎤᏂᏍᎪᎸᎢ.	anidalonige-unisgolvi		unisgolvi	Orange (them-animate).	
	ᎠᏂᎩᎦᎨᎢ.	anigigagei		junodigei	Red (them-animate).	
	ᎠᏂᎩᎦᎨ ᎤᏂᏍᎪᎸᎢ.	anigigage-unisgolvi		unisgolvi	Pink (them-animate).	
	ᎠᏂᎬᎿᎨᎢ.	anigvhnagei			Black (them-animate).	
	ᎠᏂᎬᎿᎨ ᎤᏂᏍᎪᎸᎢ.	anigvhnage-unisgolvi		unisgolvi	Grey (them-animate).	
	ᎠᏂᏤᎢ.	anijei			Green. Unripe (them-vegetables).	
	ᎠᏂᏤᎢᏳᏍᏗ.	anijeiyusdi			Green (them-animate).	
	ᎠᏂᏌᎪᏂᎨᎢ.	anisagonigei		anidahaligei	Blue (them-animate).	
	ᎠᏂᏌᎪᏂᎨ ᎤᏂᏍᎪᎸᎢ.	anisagonige-unisgolvi		unisgolvi	Grey (them-animate).	
	ᏗᏓᎭᎵᎨᎢ.	didahaligei		disagonigei	Purple (them-inanimate).	
	ᏗᏓᎶᏂᎨᎢ.	didalonigei			Yellow (them-inanimate).	
	ᏗᏓᎶᏂᎨ ᏧᏍᎪᎸᎢ.	didalonige-jusgolvi		jusgolvi	Orange (them-inanimate).	
	ᏗᎩᎦᎨᎢ.	digigagei		juwodigei	Red (them-inanimate).	
	ᏗᎩᎦᎨ ᏧᏍᎪᎸᎢ.	digigage-jusgolvi		jusgolvi	Pink (them-inanimate).	
	ᏗᎬᎿᎨᎢ.	digvhnagei			Black (them-inanimate).	
	ᏗᎬᎿᎨ ᏧᏍᎪᎸᎢ.	digvhnage-jusgolvi		jusgolvi	Grey (them-inanimate).	
	ᏗᏤᎢᏳᏍᏗ.	dijeiyusdi			Green (them-inanimate).	
	ᏗᏌᎪᏂᎨᎢ.	disagonigei		didahaligei	Blue (them-inanimate).	
	ᏗᏌᎪᏂᎨ ᏧᏍᎪᎸᎢ.	disagonige-jusgolvi		jusgolvi	Grey (them-inanimate).	
	ᏧᏁᎦ.	junega			White (them-inanimate).	
	ᏧᏃᏗᎨᎢ.	junodigei		anigigagei	Brown (them-animate).	
	ᏧᏬᏗᎨᎢ.	juwodigei		digigagei	Brown (them-inanimate).	
	ᎤᏂᏁᎦ.	uninega			White (them).	
						
160	ᎤᏬᏗᎨ ᏄᎾᏊ Ꭿ̣ᎪᏩᏘᎭ.	uwodige-nunagwu-higowhtiha			Just a brown potato, it you see.	
	ᎩᎦᎨ ᎪᏪᎵ Ꮵ̣ᎪᏩᏘᎭ.	gigage-gohweli-jigowhtiha			A red paper, it I see.	
	ᎠᏴᏫᏍ ᎯᎪᏩᏘᎭ?	ayvwis-hiigowhtiha			A deer, are you seeing it?	
	ᎯᎪᏩᏘᎭᏍ ᎠᏴᏫ?	hiigowhtihas-ayvwi			Are you seeing it? A deer?	
	ᎤᏁᎦ ᏌᎶᎵ ᎯᎪᏩᏘᎭ.	unega-saloli-hiigowhtiha			A white squirrel, it you see.	
	ᎠᏌᎪᏂᎨᎾ ᏩᎭᏯ ᎯᎪᏩᏘᎭ?	asagonigena-wahaya-hiigowhtiha			What about the blue wolf that you are seeing?	
	ᎯᎪᏩᏘᎭᎾ ᎠᏌᎪᏂᎨ ᏩᎭᏯ?	hiigowhtihana-asagonige-wahaya			What about you seeing it? The blue wolf.	
	ᏗᎩᎦᎨ ᏗᎪᏪᎵ ᏕᏥ̣ᎪᏩᏘᎭ.	digigage-digohweli-dejigowhtiha			Red papers, I see them.	
	ᎪᏍᏗ ᏓᎭᎵᎨ Ꮵ̣ᎪᏩᏘᎭ.	gosdi-dahalige-jigowhtiha			Something purple (inanimate), it I see.	
	ᏥᎪᏩᏘᎭ ᎤᏲ ᎠᎨᏯ.	jiigowhtiha-uyo-agehya			I see her, a bad woman.	
	ᎠᏣᎳᎩ ᎯᎪᏩᏘᎭ.	ajalagi-hiigowhtiha			A Cherokee person, him or her you are seeing.	
						
	ᎣᏍᏓ ᏥᏍᏚ ᎠᎪᏩᏘᎭ ᎠᏧᏣ.	osda-jisdu-agowhtiha-achuja			A good rabbit, he sees it, the boy.	
	ᎠᏂᏴᏫᏯᎢ ᎤᏲ ᏩᎭᏯ ᎠᏂᎪᏩᏘᎭ.	aniyvwiyai-uyo-wahaya-anigowhtiha			Native americans, a bad wolf, they see it.	
	Ꮵ̣ᎪᏩᏘᎭ ᎪᏍᏗ ᎤᏁᎦ.	jigowhtiha-gosdi-unega			I see it, something white.	
	ᎠᏂᎨᏳᏣ ᎠᏂᎩᎦᎨ ᏥᏍᏚ ᏓᏂᎪᏩᏘᎭ.	anigehyuja-anigigage-jisdu-danigowhtiha			Girls, red rabbits, they (the girls) see them.	
	ᎠᏂᏓᎶᏂᎨ ᏲᎾ ᎦᏥᎪᏩᏘᎭ.	anidalonige-yona-gajiigowhtiha		anidalonige-unisgolv-yona-gajiigowhtiha	Yellow bears, I see them.	
	ᏥᎪᏩᏘᎭᏍ ᎤᏲ ᎠᏧᏣ?	jiigowhtihas-uyo-achuja			Am I seeing him? A bad boy.	
	ᏧᏁᎦ ᏗᎪᏪᎵ ᏕᎯ̣ᎪᏩᏘᎭ.	junega-digohweli-dehigowhtiha			White papers, you see them.	
	ᎠᎨᏳᏣᏍ ᎯᎪᏩᏘᎭ?	agehyujas-hiigowhtiha			Is it a girl? That you are seeing.	
	ᏥᎪᏩᏘᎭᎾ ᎠᏓᎶᏂᎨ ᏲᎾ?	jiigowhtihana-adalonige-yona			What about me seeing it? A yellow bear.	
	ᎠᏂᎩᎵᏏ ᏗᏌᎪᏂᎨ ᎫᎴ ᏓᏂᎪᏩᏘᎭ.	anigilisi-disagonige-gule-danigowhtiha			English people, blue acorns, they see them.	
						
	ᎤᏬᏗᎨ ᏥᏍᏚ ᏥᎪᏩᏘᎭ.	uwodige-jisdu-jiigowhtiha			A brown rabbit, it I see.	
	ᎠᏂᏓᎶᏂᎨ ᎤᏂᏍᎪᎸ ᏲᎾ ᎦᏥᎪᏩᏘᎭ.	anidalonige-unisgolv-yona-gajiigowhtiha		anidalonige-yona-gajiigowhtiha	Orange bears, them I see.	
	ᎯᎪᏩᏘᎭ ᎢᏤᎢᏳᏍᏗ ᏌᎶᎵ.	hiigowhtiha-ijeiyusdi-saloli			You see it, a green squirrel.	
	ᎠᏂᎨᏳᏣ ᏗᏓᎶᏂᎨ ᎤᏂᏍᎪᎸ ᎫᎴ ᏓᏂᎪᏩᏘᎭ.	anigehyuja-didalonige-unisgolv-gule-danigowhtiha			Girls, orange acorns, them they see.	
	 ᏗᎩᎨ ᏄᎾ ᏕᎯ̣ᎪᏩᏘᎭ.	digige-nuna-dehigowhtiha			Red potatoes, them you see.	
	ᎤᏂᏲ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	uniyo-anisgaya-gajiigowhtiha			Bad men, them I see.	
	ᎠᎩᎨ ᏐᏈᎵ ᏥᎪᏩᏘᎭ.	agige-sogwili-jiigowhtiha			A red horse, it I see.	
	ᏕᎯ̣ᎪᏩᏘᎭ ᏗᎩᎨ ᏄᎾ.	dehigowhtiha-digige-nuna			Them you see, red potatoes.	
	ᎠᏧᏣ ᏧᏃᏗᎨ ᏩᏯ ᏓᎪᏩᏘᎭ.	achuja-junodige-wahya-dagowhtiha			A boy, brown wolves, them he sees.	
						
170	ᎤᎭ.	uha			He or she has it.	
	ᎤᏂᎭ.	uniha			They have it.	
	ᎠᎩᎭ.	agiha			I have it.	
	ᏣᎭ.	jaha			You one have it.	
	ᎤᏩᎧᎭ.	uwakaha			He or she has him or her.	
	ᎤᏂᎧᎭ.	unikaha			They have him or her.	
	ᎠᎩᎧᎭ.	agikaha			I have him or her.	
	ᏣᎧᎭ.	jakaha			You have him or her.	
						
171	ᎪᏍᏓ	gosda			I-good.	
	ᎰᏍᏓ	hosda			You one-good.	
	ᏦᏍᏓ	josda			They (inanimate)-good.	
	ᎠᏃᏍᏓ	anosda			They (animate)-good.	
						
	ᎠᎩᏲᎢ	agiyoi			I-bad.	
	ᏣᏲᎢ	jayoi			You one-bad.	
	ᏧᏲᎢ	juyoi			They (inanimate)-bad.	
	ᎤᏂᏲᎢ	uniyoi			They (animate)-bad.	
						
	ᏥᎩᎦᎨᎢ	jigigagei			I-red.	
	ᎯᎩᎦᎨᎢ	higigagei			You one-red.	
	ᏗᎩᎦᎨᎢ	digigagei			They (inanimate)-red.	
	ᎠᏂᎩᎦᎨᎢ	anigigagei			They (animate)-red.	
						
	ᏣᏁᎦ	janega			You one-white.	
	ᏧᏁᎦ	junega			They (inanimate)-white.	
	ᎤᏂᏁᎦ	uninega			They (animate)-white.	
						
	ᎠᏉᏗᎨᎢ	agwodigei			I-brown.	
	ᏦᏗᎨᎢ	jodigei			You one-brown.	
	ᏧᏬᏗᎨᎢ	juwodigei			They (inanimate)-brown.	
	ᏧᏃᎩᎨᎢ	junodigei			They (animate)-brown.	
						
	ᏥᏓᎶᏂᎨᎢ	jidalonigei			I-yellow.	
	ᎯᏓᎶᏂᎨᎢ	hidalonigei			You one-yellow.	
	ᏗᏓᎶᏂᎨᎢ	didalonigei			They (inanimate)-yellow.	
	ᎠᏂᏓᎶᏂᎨᎢ	anidalonigei			they (animate)-yellow.	
						
180	ᎦᎪ ᎠᎩᎪᏘᎭ?	gago-agigowhtiha			Who (he or she) sees me?	
	ᎦᎪ ᏣᎪᏘᎭ?	gago-jagowhtiha			Who (he or she) sees you one?	
						
	ᎦᏙ ᎤᏍᏗ ᎤᎭ?	gado-usdi-uha			What (inanimate) does he or she have?	
	ᎦᏙ ᎤᏍᏗ ᎤᏂᎭ?	gado-usdi-uniha			What (inanimate) do they have?	
	ᎦᏙ ᎤᏍᎩ ᎠᎩᎭ?	gado-usdi-agiha			What (inanimate) do I have?	
	ᎦᏙ ᎤᏍᏗ ᏣᎭ?	gado-usdi-jaha			What (inanimate) do you one have?	
	ᎦᏙ ᎤᏍᏗ ᎤᏩᎧᎭ?	gado-usdi-uwakaha			What (animate) does he or she have?	
	ᎦᏙ ᎤᏍᏗ ᎤᏂᎧᎭ?	gado-usdi-unikaha			What (animate) do they have?	
	ᎦᏙ ᎤᏍᏗ ᎠᎩᎧᎭ?	gado-usdi-agikaha			What (animate) do I have?	
	ᎦᏙ ᎤᏍᏗ ᏣᎧᎭ?	gado-usdi-jakaha			What (animate) do you one have?	
						
	ᎾᏍᎩ ᎠᎩᎪᏩᏘᎭ.	nasgi-agigowhtiha	asgaya-agigowhtiha		He sees me.	
 	Ꮭ ᎾᏍᎩ ᏯᎩᎪᏩᏘᎭ.	hla-nasgi-yagigowhtiha	hla-asgaya-yagigowhtiha		He is not seeing me.	
	ᎠᏍᎦᏯ ᎠᎩᎪᏩᏘᎭ.	asgaya-agigowhtiha			A man sees me.	
	Ꮭ ᎠᏍᎦᏯ ᏯᎩᎪᏩᏘᎭ.	hla-asgaya-yagigowhtiha	hla-asgaya-yagigowhtiha		The man is not seeing me.	
						
	ᎥᏍᎩᎾ ᏣᎪᏩᏘᎭ.	vsgina-jagowhtiha	agehya-jagowhtiha		She sees you.	
	Ꮭ ᎥᏍᎩᎾ ᏱᏣᎪᏩᏘᎭ.	hla-vsgina-yijagowhtiha	hla-agehya-yijagowhtiha		She is not seeing you.	
	ᎠᎨᏯ ᏣᎪᏩᏘᎭ.	agehya-jagowhtiha			A woman sees you.	
	Ꮭ ᎠᎨᏯ ᏱᏣᎪᏩᏘᎭ.	hla-agehya-yijagowhtiha	hla-agehya-yijagowhtiha		The woman is not seeing you.	
						
	ᎠᏍᎦᏯ ᎥᏍᎩ ᎤᎭ.	asgaya-vsgi-uha	asgaya-nuna-uha		A man, that, he has it.	
	Ꮭ ᎠᎨᏯ ᎥᏍᎩ ᏳᎭ.	hla-agehya-vsgi-yuha	hla-agehya-nuna-yuha		The woman, that, she does not have it.	
	ᎠᏍᎦᏯ ᏄᎾ ᎤᎭ.	asgaya-nuna-uha			The man, a potato, he has it.	
	Ꮭ ᎠᎨᏯ ᏄᎾ ᏳᎭ.	hla-agehya-nuna-yuha			The woman, a potato, she does not have it.	
						
	ᎾᏍᎩ ᏄᎾ ᎤᏂᎭ.	nasgi-nuna-uniha	anisgaya-nuna-uniha		They, a potato, they have.	
	Ꮭ ᎾᏍᎩ ᏅᏯ ᏳᏂᎭ.	hla-nasgi-nvya-yuniha	hla-anisgaya-nvya-yuniha		They, a rock, they do not have.	
	ᎠᏂᏍᎦᏯ ᏄᎾ ᎤᏂᎭ.	anisgaya-nuna-uniha			Men, a potato, they have.	
	Ꮭ ᎠᏂᏍᎦᏯ ᏅᏯ ᏳᏂᎭ.	hla-anisgaya-nvya-yuniha			Men, a rock, they do not have.	
						
	ᎯᎠ ᎠᎩᎭ.	hia-agiha	nvya-agiha		This I have.	
	Ꮭ ᎾᏍᎩ ᏯᎩᎭ.	hla-nasgi-yagiha	hla-nvya-yagiha		This I do not have.	
	ᏅᏯ ᎠᎩᎭ.	nvya-agiha			A rock I have.	
	Ꮭ ᏅᏯ ᏯᎩᎭ.	hla-nvya-yagiha			A rock I do not have.	
						
	ᎥᏍᎩᎾ ᏣᎭ.	vsgina-jaha	nuna-jaha		That you have.	
	Ꮭ ᎥᏍᎩ ᏱᏣᎭ.	hla-vsgi-yijaha	hla-nuna-yijaha		That you do not have.	
	ᏄᎾ ᏣᎭ.	nuna-jaha			A potato you have.	
	Ꮭ ᏄᎾ ᏱᏣᎭ.	hla-nuna-yijaha			A potato you do not have.	
						
